 the iv  	 sayang oov
 posao iv  	 pesma iv
 ' iv  	 ' iv
 ok iv  	 ok iv
 da oov  	 da oov
 li oov  	 li oov
 ? iv  	 ??? iv
 u iv  	 u iv
 i oov  	 kineskom iv
 i iv  	 restoranu iv
 danas iv  	 danas iv
 pustili iv  	 pustili iv
 vidi oov  	 tdi iv
 i iv  	 i iv
 one iv  	 one iv
 oov  	 mentole iv
 što iv  	 što iv
 pričaju iv  	 pričaju iv
 o iv  	 o iv
  	 prevarama iv
 . iv  	 . iv
 zove iv  	 zove iv
 lik iv  	 lik iv
 i iv  	 i iv
 priča iv  	 priča iv
 o iv  	 o iv
  	 triperu iv
 , iv  	 , iv
 boli iv  	 morala iv
 sam iv  	 sam iv
 neću iv  	 slušalice iv
 da iv  	 da iv
 oov  	 stavim iv
 iv  	 kupovna iv
 može oov  	 moć oov
 građana oov  	 građana oov
  	 porasla iv
 ! iv  	 !! iv
 da iv  	 da iv
 li iv  	 li iv
 ste iv  	 ste iv
 vi iv  	 vi iv
 hoću iv  	 normalni iv
 . iv  	 . iv
 pa iv  	 pa iv
 je oov  	 je oov
 samo iv  	 samo iv
 ja iv  	 ja iv
 vidim iv  	 vidim iv
 ove iv  	 ove iv
 ljude iv  	 ljude iv
 iz iv  	 iz iv
 neću iv  	 prodavnice iv
 što oov  	 što oov
 nose iv  	 nose iv
 samo iv  	 samo iv
 žele iv  	 hleb iv
 i iv  	 i iv
 možemo iv  	 mleko iv
 . iv  	 . iv
 nećemo iv  	 novine iv
 faks oov  	 off iv
 danas iv  	 danas iv
 mi iv  	 mi iv
 je iv  	 je iv
 toga iv  	 teta iv
 li oov  	 dermatolog iv
 rekla iv  	 rekla iv
 da iv  	 da iv
 sam iv  	 sam iv
 iv  	 alergična iv
 na iv  	 na iv
  	 mačku iv
 i iv  	 i iv
 ovo iv  	 ovo iv
 je iv  	 je iv
 iv  	 zvanično iv
 znaš iv  	 najtužniji iv
 dan iv  	 dan iv
 ok iv  	 ikad iv
 živim oov  	 živim oov
 god oov  	 monstruozno iv
 znaš oov  	 nezdravo iv
 i iv  	 i iv
 svako iv  	 svako iv
 iv  	 buđenje oov
 pre iv  	 pre iv
 2 iv  	 12 iv
 mi iv  	 mi iv
 je iv  	 je iv
  	 wow iv
 oov  	 andrej iv
 tome oov  	 uveo iv
 si iv  	 si iv
 previše iv  	 promene iv
 ali iv  	 ali iv
 iv  	 zajebi iv
 to iv  	 to iv
 ne iv  	 ne iv
 pošto oov  	 prija iv
 ti iv  	 ti iv
 i oov  	 šoferska oov
 je iv  	 je iv
 toga iv  	 tuga iv
 oov  	 pregolema iv
  	 cuknu iv
 se iv  	 se iv
 dobro oov  	 borko iv
 , iv  	 , iv
 a iv  	 a iv
 taj oov  	 pajtića oov
 nema iv  	 nema iv
 ... iv  	 ... iv
 svi iv  	 svi iv
 smo iv  	 smo iv
 mi iv  	 mi iv
 po iv  	 po iv
 malo iv  	 malo iv
 iv  	 željko iv
 ovi iv  	 joksimović iv
 : iv  	 : iv
 via iv  	 via iv
 obožavam iv  	 ahahahahahahah iv
 znam iv  	 znam iv
 ovu iv  	 ovu iv
 pesmu iv  	 pesmu iv
 radi oov  	 :ddddd iv
 dečka iv  	 dakle iv
 , iv  	 , iv
 ti iv  	 ti iv
 žele iv  	 želiš iv
 reći iv  	 reći iv
 da iv  	 da iv
 su iv  	 su iv
 sve iv  	 sve iv
 iv  	 slobine iv
 pare iv  	 pare iv
 sa iv  	 sa iv
 bila oov  	 kipra iv
  	 otišle iv
 na iv  	 na iv
 oov  	 robonaprednjaka iv
 ? iv  	 ? iv
 sutra oov  	 dude oov
 ! iv  	 ! iv
 s iv  	 s iv
 ili oov  	 vremena oov
 na iv  	 na iv
 vreme iv  	 vreme iv
 mi iv  	 mi iv
 se iv  	 se iv
 oov  	 javi iv
 neki iv  	 neki iv
 bog iv  	 bog iv
 iv  	 pameti iv
 u iv  	 u iv
 odmah oov  	 dm iv
 sa iv  	 sa iv
 '' iv  	 '' iv
 e oov  	 eee iv
 a iv  	 a iv
 kako iv  	 kako iv
 si iv  	 si iv
 ti iv  	 ti iv
 to iv  	 to iv
 keva iv  	 leva iv
 hajde oov  	 aorta iv
 , iv  	 , iv
  	 zar iv
 hajde oov  	 aorta iv
 nije iv  	 nije iv
 samo iv  	 samo iv
 jedna iv  	 jedna iv
 ? iv  	 ? iv
 ) oov  	 ;;))) iv
 '' iv  	 '' iv
 pa iv  	 pa iv
 jednom iv  	 bravo iv
 ! iv  	 ! iv
 e oov  	 eee iv
 pa iv  	 pa iv
 ako iv  	 ako iv
 je iv  	 je iv
 rođendan oov  	 rođendan oov
 , iv  	 , iv
 onda iv  	 onda iv
 neka iv  	 neka iv
 bude iv  	 bude iv
 srećan oov  	 srećan oov
 , iv  	 , iv
 neću oov  	 najsrećniji oov
 . iv  	 . iv
 par oov  	 uživaj oov
 u iv  	 u iv
 ovako iv  	 svakom iv
 treba iv  	 trenutku iv
 , iv  	 , iv
 neka oov  	 neka oov
 ti iv  	 ti iv
 rekao oov  	 radost iv
 bude iv  	 bude iv
 sve iv  	 sve iv
 što oov  	 što oov
 oov  	 radiš oov
 . iv  	 . iv
 li iv  	 * iv
 ovako oov  	 voki iv
 , iv  	 , iv
 mi iv  	 mi iv
 smo iv  	 smo iv
 oov  	 kasno iv
 iv  	 stigle iv
 , iv  	 , iv
 tako iv  	 tako iv
 da iv  	 da iv
 smo iv  	 smo iv
 samo iv  	 samo iv
  	 prošetale iv
 . iv  	 . iv
 nemam iv  	 nemam iv
 kao oov  	 whatsapp oov
 , iv  	 , iv
 sutra iv  	 sutra iv
 ćemo iv  	 ćemo iv
 do iv  	 do iv
 iv  	 jelisejskih iv
 , iv  	 , iv
 pa iv  	 pa iv
 da iv  	 da iv
 se iv  	 se iv
 iv  	 nađemo iv
 ? iv  	 ? iv
 ali iv  	 ali iv
 i iv  	 i iv
 stvar iv  	 stvar iv
 iv  	 politike iv
  	 stranke iv
 prema iv  	 prema iv
 može oov  	 oo iv
 / iv  	 / iv
 god iv  	 gro iv
 , iv  	 , iv
 koju iv  	 koju iv
 oov  	 kreira iv
 oov  	 predsedništvo iv
 , iv  	 , iv
 a iv  	 a iv
 znaš iv  	 sprovodi iv
 i iv  	 io iv
 kad iv  	 kad iv
 bi iv  	 bi iv
 me iv  	 me iv
 neko iv  	 neko iv
 video iv  	 video iv
 , iv  	 , iv
 ne iv  	 ne iv
 bi iv  	 bi iv
  	 verovao iv
 svojim iv  	 svojim iv
 odmah iv  	 očima iv
 da iv  	 da iv
 ovako iv  	 ovako iv
 bi iv  	 mala iv
 žena iv  	 žena iv
 može iv  	 može iv
 ljudima iv  	 pojesti iv
 toliko iv  	 toliko iv
 čim iv  	 kejka oov
 i oov  	 govornici iv
 drugog iv  	 drugog iv
 dana iv  	 dana iv
 su iv  	 su iv
  	 zoran iv
 li iv  	 aranđelović iv
 , iv  	 , iv
 dečka oov  	 dekan iv
 min. oov  	 ekonomskog oov
 faks oov  	 fakulteta oov
 , iv  	 , iv
 iv  	 gradski iv
 iv  	 većnik iv
 , iv  	 , iv
 oov  	 milivoje iv
 već iv  	 jovanović iv
 , iv  	 , iv
 znaš oov  	 eneca iv
 i iv  	 i iv
  	 goran iv
 iv  	 mladenović iv
 , iv  	 , iv
 ništa oov  	 nicat iv
 " iv  	 " iv
 : iv  	 : iv
 oov  	 vestermanov iv
 2 iv  	 „ iv
  	 srednjak iv
 iv  	 ” iv
 za iv  	 za iv
 oov  	 mažića iv
 , iv  	 , iv
 ovi iv  	 simonovića iv
 i iv  	 i iv
 bila iv  	 blažiča iv
 ! iv  	 ! iv
 - iv  	 - iv
 i iv  	 sport iv
 - iv  	 - iv
  	 košarka iv
 - iv  	 - iv
 žao iv  	 alo iv
 ! iv  	 ! iv
 " iv  	 " iv
 pošto oov  	 ooooo iv
 iv  	 konačno iv
 :) iv  	 :) iv
 da iv  	 da iv
 , iv  	 , iv
  	 tvitujem iv
 umesto iv  	 umesto iv
 da iv  	 da iv
 učim iv  	 učim iv
 faks oov  	 fiziku iv
 to iv  	 to iv
 je iv  	 je iv
 zato iv  	 zato iv
 što iv  	 što iv
 su iv  	 su iv
 me iv  	 me iv
 ga oov  	 ostavili iv
 znaš iv  	 samu iv
 kući iv  	 kući iv
 dobro iv  	 dobro iv
 , iv  	 , iv
 i iv  	 i iv
 zato iv  	 zato iv
 što iv  	 što iv
 imam iv  	 imam iv
  	 promociju iv
 ... iv  	 ... iv
 da iv  	 da iv
 ne iv  	 ne iv
 priča oov  	 pričam oov
 o iv  	 o iv
 tome iv  	 tome iv
 da iv  	 da iv
 je iv  	 je iv
 jednom iv  	 jednom iv
 a oov  	 stajala iv
 ispred iv  	 ispred iv
 vrata iv  	 vrata iv
 i iv  	 i iv
 da oov  	 mjaukala iv
 10 iv  	 10 iv
 min. oov  	 min. oov
 jer iv  	 jer iv
 sestra iv  	 sestra iv
 nije iv  	 nije iv
 život iv  	 htela iv
 da iv  	 da iv
 izađem oov  	 izađe oov
 iz iv  	 iz iv
 wc iv  	 wc-a oov
 a iv  	 a iv
 noć iv  	 nju iv
 iv  	 priteralo iv
 hoće iv  	 hoće iv
 li iv  	 li iv
 i iv  	 i iv
 zašto iv  	 zašto iv
 ne iv  	 ne iv
 ljudi iv  	 ljudi iv
 sa iv  	 skontati iv
 šta iv  	 šta iv
 znači iv  	 znači iv
 iv  	 spontano iv
 ? iv  	 ? iv
 :) iv  	 :s iv
 i oov  	 ispozira iv
 za iv  	 za iv
 sliku iv  	 sliku iv
 , iv  	 , iv
 a iv  	 a iv
 onda iv  	 onda iv
  	 opis iv
 " iv  	 " iv
 i iv  	 spontana iv
 a iv  	 $ iv
 / iv  	 / iv
 ( iv  	 ( iv
 iv  	 & iv
 . iv  	 t iv
 ( iv  	 (( iv
 kurac iv  	 % iv
 " iv  	 " iv
 zašto iv  	 zašto iv
 nas iv  	 nas iv
 nećemo iv  	 novine iv
  	 bombarduju iv
 oov  	 budalaštinama iv
 , iv  	 , iv
 da oov  	 danijel iv
 jebe iv  	 jebe iv
 , iv  	 , iv
 oov  	 gagi iv
 ne iv  	 ne iv
 jebe iv  	 jebe iv
 , iv  	 , iv
 faks oov  	 goca iv
 iv  	 kraljica iv
 oov  	 novih iv
 ljubavi iv  	 ljubavi iv
 koju iv  	 stanija iv
 kurva iv  	 kurva iv
 min. iv  	 mrš iv
 svi iv  	 svi iv
 u iv  	 u iv
 iv  	 materinu iv
 jeste oov  	 jeste oov
 čast oov  	 brate oov
 , iv  	 , iv
 kad iv  	 kad iv
 nije iv  	 nije iv
 bilo iv  	 bilo iv
 vas iv  	 vas iv
 dobar iv  	 dobar iv
 mi iv  	 mi iv
 bio iv  	 bio iv
 i iv  	 i iv
 on iv  	 on iv
 ( iv  	 ( iv
 ili iv  	 ili iv
 je iv  	 je iv
 ona iv  	 ona iv
 , iv  	 , iv
 nisam iv  	 nisam iv
 vidi iv  	 virio iv
 pod iv  	 pod iv
 red iv  	 rep iv
 ) iv  	 ) iv
 kad iv  	 kad iv
 imam iv  	 imam iv
 para iv  	 para iv
 na iv  	 na iv
 oov  	 online iv
 da oov  	 klađenju oov
 nekad iv  	 nekad iv
 se iv  	 se iv
 iv  	 zaletim iv
 pa iv  	 pa iv
 iv  	 uplaćujem oov
 kao iv  	 kao iv
 da iv  	 da iv
 su iv  	 su iv
 iv  	 tokeni iv
 koje iv  	 koje iv
 sam iv  	 sam iv
 dobro iv  	 dobio iv
 oov  	 invajtovanjem iv
 najviše iv  	 prijatelja iv
 a iv  	 a iv
 ne iv  	 ne iv
 previše iv  	 prave iv
 pare iv  	 pare iv
 . iv  	 . iv
 oov  	 majka iv
 : iv  	 : iv
 - iv  	 - iv
 žene iv  	 sine iv
 ga oov  	 spakovala iv
 sam iv  	 sam iv
 ti iv  	 ti iv
  	 puter iv
 , iv  	 , iv
 žele iv  	 hleb iv
 i iv  	 i iv
  	 eksere iv
 - iv  	 - iv
 zašto iv  	 zašto iv
 ? iv  	 ? iv
 - iv  	 - iv
 ako iv  	 ako iv
 znaš iv  	 ogladniš iv
 da iv  	 da iv
 znaš iv  	 namažeš iv
  	 puter iv
 na iv  	 na iv
 žele iv  	 hleb iv
 - iv  	 - iv
 a iv  	 a iv
  	 eksere iv
 ? iv  	 ? iv
 - iv  	 - iv
 ga oov  	 spakovala iv
 sam iv  	 sam iv
 ti iv  	 ti iv
 i iv  	 i iv
  	 eksere iv
 ko iv  	 btw iv
 , iv  	 , iv
 ovde oov  	 weed iv
 .. iv  	 vs. iv
  	 gay iv
 rekao iv  	 brakovi iv
 , iv  	 , iv
 oov  	 zanimljivo iv
 iv  	 pitanjce iv
 ( iv  	 ( iv
 e oov  	 especially oov
 ako iv  	 ako iv
 si iv  	 si iv
  	 gay iv
 god iv  	 pothead iv
 ) iv  	 ) iv
 , iv  	 , iv
 ali iv  	 ali iv
 reći oov  	 reći oov
 ' iv  	 ' iv
 iv  	 nijedno iv
 ' iv  	 ' iv
 , iv  	 , iv
 to iv  	 to iv
 je iv  	 je iv
 iv  	 pozicija iv
 koju iv  	 koju iv
 je iv  	 je iv
 kažeš oov  	 baš oov
 teško oov  	 teško oov
 bi iv  	 braniti iv
 . iv  	 . iv
 " iv  	 " iv
 : iv  	 : iv
 u iv  	 u iv
 da oov  	 skoplju iv
 , iv  	 , iv
 zajedno iv  	 zajedno iv
 sa iv  	 sa iv
 , iv  	 , iv
 bi iv  	 b iv
 iv  	 & iv
 bi iv  	 b iv
  	 express iv
 , iv  	 , iv
 i iv  	 i iv
 oov  	 drugim iv
 iv  	 prijateljima iv
 ; iv  	 ; iv
 mislim oov  	 thrilled iv
 ! iv  	 ! iv
 " iv  	 " iv
 oči oov  	 cc iv
 bilo iv  	 blokirao iv
  	 rodbinu iv
 na iv  	 na iv
 faks oov  	 face iv
 , iv  	 , iv
 a iv  	 a iv
 oni iv  	 oni iv
 meni iv  	 meni iv
 posle iv  	 posle iv
 par iv  	 par iv
 dana iv  	 dana iv
 : iv  	 : iv
 hvala iv  	 hvala iv
 a iv  	 bogu iv
 da iv  	 da iv
 si iv  	 si iv
 i iv  	 i iv
 ti iv  	 ti iv
 malo iv  	 malo iv
 oov  	 deaktivirao iv
 pošto iv  	 profil iv
 gde iv  	 xd iv
 ne oov  	 18+ iv
 tvit iv  	 tvit iv
 : iv  	 : iv
 dobro iv  	 dobro iv
 , iv  	 , iv
 kad iv  	 kad iv
 će iv  	 će iv
 više iv  	 više iv
 taj iv  	 taj iv
 stvar iv  	 haarp iv
 da iv  	 da iv
 i iv  	 i iv
 od iv  	 od iv
 mene iv  	 mene iv
 napravi iv  	 napravi iv
 seks iv  	 seks iv
  	 robinju iv
 , iv  	 , iv
 dosta iv  	 dosta iv
 sam iv  	 sam iv
 bila iv  	 bila iv
 iv  	 frigidna iv
 " iv  	 " iv
 meni iv  	 meni iv
 iv  	 najjače oov
 kad iv  	 kad iv
 nas iv  	 nas iv
 iv  	 gimnazijalce iv
 hajde iv  	 zovu iv
 ovde oov  	 štreberima oov
 a iv  	 a iv
 kad iv  	 kad iv
 se iv  	 se iv
 ode iv  	 ode iv
 tipa iv  	 tipa iv
 na iv  	 na iv
 neku iv  	 neku iv
  	 žurku oov
 , iv  	 , iv
 iv  	 gimnazijalci iv
 su iv  	 su iv
 oov  	 ubedljivo oov
 oov  	 najgori iv
 , iv  	 , iv
 ne iv  	 ne iv
 oov  	 zavaravajte iv
 se iv  	 se iv
 e iv  	 e iv
 lako iv  	 lako iv
 je iv  	 je iv
 srbiji iv  	 vama iv
 vi iv  	 vi iv
 se iv  	 se iv
 oov  	 zezate iv
 ja iv  	 ja iv
 moram iv  	 moram iv
 sad iv  	 sad iv
 da iv  	 da iv
 oov  	 izračunam oov
 2 iv  	 25 iv
  	 formula iv
 iz iv  	 iz iv
 oov  	 matematike iv
 i iv  	 i iv
 oov  	 elektrotehnike oov
 . iv  	 . iv
 put oov  	 p.s. oov
 ko iv  	 ko iv
 žele oov  	 želi oov
 da iv  	 da iv
 mi iv  	 mi iv
 pošto iv  	 pomogne iv
 neka iv  	 neka iv
 se iv  	 se iv
 oov  	 javi iv
 u iv  	 u iv
 odmah oov  	 dm iv
 iv  	 školica iv
 vi iv  	 vrh iv
 . iv  	 . iv
 par iv  	 linčujte iv
 me iv  	 me iv
 , iv  	 , iv
 ali oov  	 ali oov
 od iv  	 od iv
 15 iv  	 15 iv
 samo iv  	 samo iv
 :) iv  	 6 iv
 pošto iv  	 opštih iv
 iv  	 predmeta iv
 , iv  	 , iv
 a iv  	 a iv
 u iv  	 u iv
 to iv  	 to iv
 su iv  	 su iv
 dalje iv  	 uključeni iv
 dođe iv  	 fizičko iv
 i iv  	 i iv
  	 građansko oov
 . iv  	 . iv
 hvala iv  	 haha iv
 . iv  	 . iv
 " iv  	 " iv
 faks iv  	 final iv
  	 cut iv
 3 iv  	 – iv
 iv  	 ladies iv
 iv  	 & iv
 do iv  	 gentlemen iv
 " iv  	 " iv
 oov  	 najtoplija iv
 iv  	 preporuka iv
 svima iv  	 svima iv
 srbiji iv  	 vama iv
 , iv  	 , iv
 srbiji iv  	 najbolji iv
 film iv  	 film iv
 u iv  	 u iv
 ko iv  	 poslednje iv
 vreme iv  	 vreme iv
 . iv  	 . iv
 iv  	 pritiskaju iv
 me iv  	 me iv
 da iv  	 da iv
 možemo iv  	 položim iv
 5 iv  	 5 iv
 i iv  	 ispita iv
 u iv  	 u iv
  	 avgustu iv
 da iv  	 da iv
 bi iv  	 bismo oov
 u iv  	 u iv
 ste iv  	 septembru iv
 im iv  	 išli iv
 na iv  	 na iv
 more iv  	 more iv
 . iv  	 . iv
 jeste iv  	 jeste iv
 čast iv  	 čitavi iv
 gde oov  	 gde oov
 ste iv  	 ste iv
 dalje iv  	 videli iv
 nismo iv  	 sunce iv
 u iv  	 u iv
 ste iv  	 septembru iv
 ? iv  	 ??? iv
 mislila oov  	 smislila iv
 sam iv  	 sam iv
 ne oov  	 novo iv
 oov  	 slovo iv
 odmah oov  	 abdž oov
 piše oov  	 piše oov
 se iv  	 se iv
 kao iv  	 kao iv
 a iv  	 a iv
 sa iv  	 sa iv
 oov  	 ćiriličnim oov
 toga oov  	 donjim iv
  	 delom iv
 od iv  	 od iv
 ne oov  	 dž oov
 , iv  	 , iv
 neka oov  	 neka oov
 mi iv  	 mi iv
 nisu iv  	 crna iv
  	 gora iv
 da iv  	 da iv
 pare iv  	 pare iv
 sada iv  	 sada iv
 koji iv  	 koji iv
 bre iv  	 bre iv
 rekao iv  	 branko iv
 ? iv  	 ? iv
 znaš iv  	 ama iv
 iv  	 branka iv
 iv  	 koleginica iv
 .. iv  	 .. iv
 pitam iv  	 pitam iv
 koji iv  	 koji iv
 rekao iv  	 branko iv
 ? iv  	 ? iv
 znaš oov  	 nenade iv
 od iv  	 od iv
 kad iv  	 kad iv
 se iv  	 se iv
 gde iv  	 drogiraš iv
 ? iv  	 ? iv
 svih iv  	 hahahaha iv
 ... iv  	 ... iv
 a iv  	 a iv
 nemam iv  	 nemam iv
 sa iv  	 pojma iv
 ko iv  	 ko iv
 su iv  	 su iv
 ti iv  	 ti iv
 ljudi iv  	 ljudi iv
 . iv  	 . iv
 iv  	 stanki iv
 samo iv  	 samo iv
 piše oov  	 piši oov
 , iv  	 , iv
 bila oov  	 pa oov
 čitam oov  	 čitam oov
 :) iv  	 :) iv
 ti iv  	 ti iv
 si iv  	 si iv
 iv  	 pametna iv
 tako iv  	 tako iv
 da iv  	 da iv
 će oov  	 će oov
 i iv  	 i iv
 oov  	 knjiga iv
 biti iv  	 biti iv
 oov  	 izvrsna iv
 može oov  	 oooo iv
 bože iv  	 bože iv
 nisu iv  	 dragi iv
 , iv  	 , iv
 ovaj iv  	 ovaj iv
 fb iv  	 fb iv
 me iv  	 me iv
 iv  	 tako oov
 li iv  	 nervira iv
 s iv  	 s iv
 tim iv  	 tim iv
 oov  	 bagovanjem iv
 . iv  	 . iv
 baš iv  	 baš iv
 sam iv  	 sam iv
 u iv  	 u iv
 već iv  	 velikom iv
 znaš iv  	 iskušenju iv
 da iv  	 da iv
 i iv  	 i iv
 ja iv  	 ja iv
  	 obrišem iv
 i iv  	 nalog iv
 na iv  	 na iv
 fejsu iv  	 fejsu iv
 kad iv  	 kad iv
 se iv  	 se iv
 već iv  	 već iv
 oov  	 sredi iv
 . iv  	 . iv
 osećaj iv  	 sećam iv
 se iv  	 se iv
 telefon iv  	 recimo iv
 da iv  	 da iv
 sam iv  	 sam iv
 dobro iv  	 dobio iv
 takav iv  	 takvu iv
 hoću iv  	 šamarčinu iv
 od iv  	 od iv
  	 ruskinje iv
 da iv  	 da iv
 mi iv  	 mi iv
 toga oov  	 zuji iv
 i iv  	 i iv
 dan iv  	 danas oov
 u iv  	 u iv
 i iv  	 ušima iv
 . iv  	 . iv
 a iv  	 a iv
 samo iv  	 samo iv
 sam iv  	 sam iv
 života oov  	 izostavio iv
 s iv  	 s iv
 " iv  	 " iv
 neće iv  	 daj iv
 mi iv  	 mi iv
 pičku iv  	 pičku iv
 da iv  	 da iv
 ako oov  	 zakurim iv
 " iv  	 " iv
 ja iv  	 ja iv
 sam iv  	 sam iv
 u iv  	 u iv
  	 krevetu iv
 znaš oov  	 sada oov
 . iv  	 . iv
 i iv  	 i iv
 to iv  	 to iv
 i iv  	 pokrivena iv
 i iv  	 i iv
 nije iv  	 nije iv
 mi iv  	 mi iv
 oov  	 vrućina iv
 . iv  	 . iv
 biti oov  	 baterija iv
 će iv  	 će iv
 valjda iv  	 valjda iv
 pošto oov  	 potrajati iv
 još iv  	 još iv
 malo iv  	 malo iv
 " iv  	 " iv
 meni iv  	 meni iv
 je iv  	 je iv
 i iv  	 i iv
 sada iv  	 pradeda iv
 možemo iv  	 živeo iv
 u iv  	 u iv
 sa iv  	 leštanima iv
 a iv  	 a iv
 oni iv  	 oni iv
 će iv  	 će iv
 sad iv  	 sad iv
 moj iv  	 moj iv
 drugi iv  	 grad iv
 da iv  	 da iv
 obožavam oov  	 zauzimaju iv
 " iv  	 " iv
 ljudi iv  	 ljudi iv
 , iv  	 , iv
 ove iv  	 ove iv
 budeš iv  	 osobe iv
 su iv  	 su iv
 sutra iv  	 stvarne iv
 hajde oov  	 hajde oov
 se iv  	 se iv
 što iv  	 takmičimo iv
 kojem oov  	 kome iv
 treba iv  	 treba iv
 manje iv  	 manje iv
 od iv  	 od iv
 opet iv  	 posla iv
 do iv  	 do iv
 kuće iv  	 kuće iv
 ! iv  	 ! iv
 ja iv  	 ja iv
 : iv  	 : iv
 ne iv  	 ne iv
 više iv  	 više iv
 od iv  	 od iv
 2 iv  	 20 iv
 u iv  	 sekundi iv
 ako iv  	 ako iv
 iv  	 pogodim iv
  	 bravu iv
 iz iv  	 iz iv
  	 prve iv
 . iv  	 . iv
 kuću oov  	 suck iv
 im iv  	 it iv
 biti oov  	 bitch iv
  	 huehue iv
  	 grrr oov
 , iv  	 , iv
 zašto iv  	 zašto iv
 se iv  	 se iv
 nikada iv  	 nikada iv
 neću iv  	 neću iv
 znaš iv  	 navići iv
 na iv  	 na iv
 neću oov  	 nepotizam iv
 , iv  	 , iv
 čovek oov  	 protekciju iv
 i iv  	 i iv
  	 korupciju iv
 , iv  	 , iv
 a iv  	 a iv
 tako iv  	 tako iv
 su iv  	 su iv
 i iv  	 dugo iv
 i iv  	 i iv
 iv  	 duboko iv
 u iv  	 u iv
 znaš iv  	 našem iv
  	 društvu iv
 znaš oov  	 ?!!! iv
 gde oov  	 prethodnih oov
 2 iv  	 20 iv
 godina iv  	 godina iv
 iv  	 budžet iv
 je iv  	 je iv
 može oov  	 ulozio iv
 mislim iv  	 milijarde iv
 e iv  	 eur iv
 znaš iv  	 naših iv
 para iv  	 para iv
 u iv  	 u iv
  	 gradnju iv
 oov  	 autoputeva oov
 ! iv  	 ! iv
 i iv  	 i iv
 .... iv  	 .... iv
 za iv  	 za iv
 iv  	 koncesije iv
 i iv  	 i iv
 vidi oov  	 privatizaciju iv
  	 puteva iv
 ! iv  	 ! iv
 1 iv  	 13 iv
 iv  	 things iv
 kao oov  	 you iv
 znaš oov  	 can iv
 eto iv  	 get iv
  	 for iv
  	 free iv
 rekoh iv  	 right iv
 noć iv  	 now iv
 i iv  	 i iv
 samo iv  	 samo iv
 su iv  	 su iv
 dve iv  	 dve iv
 stvari iv  	 stvari iv
 neću oov  	 dostupne iv
 u iv  	 u iv
 srbiji iv  	 srbiji iv
 via iv  	 via iv
 a iv  	 a iv
 oov  	 palili iv
 smo iv  	 smo iv
 iv  	 sveće iv
 za iv  	 za iv
 iv  	 ubijenog iv
 sam iv  	 francuza iv
 a iv  	 a iv
 sad iv  	 sad iv
 kad iv  	 kad iv
 je iv  	 je iv
 biti iv  	 srbin iv
 iv  	 poginuo oov
 sve iv  	 sve iv
 boli iv  	 boli iv
 kurac iv  	 kurac iv
 ! oov  	 !!!! iv
 iv  	 tijana iv
 sluša oov  	 sluša oov
 i oov  	 majli iv
 ! iv  	 !!!!!!!!!!!! iv
 pa iv  	 pa iv
 šta oov  	 šta oov
 je iv  	 je iv
 ovo iv  	 ovo iv
 . iv  	 . iv
 sa iv  	 sa iv
 ' iv  	 ' iv
 neka oov  	 keep iv
 iv  	 jazzing oov
 ' iv  	 ' iv
 ' iv  	 ' iv
 iv  	 krenula iv
 kao oov  	 ka iv
 ćale oov  	 azealiji iv
 , iv  	 , iv
 ga oov  	 mackelmoreu oov
 , iv  	 , iv
 i oov  	 majli iv
 i iv  	 i iv
 oov  	 bieberu iv
 . iv  	 . iv
 e oov  	 eee iv
 bože oov  	 bože oov
 kažeš iv  	 kakve iv
 previše iv  	 promene iv
 . iv  	 . iv
 okej iv  	 okej iv
 da iv  	 skontali iv
 smo iv  	 smo iv
 da iv  	 da iv
 svima iv  	 svima iv
 iv  	 interakcije iv
 znaš oov  	 živnu iv
 zbog iv  	 zbog iv
 god iv  	 favorited iv
  	 your iv
  	 retweets iv
 / iv  	 / iv
  	 retweeted iv
  	 your iv
  	 retweets iv
 ok iv  	 ok iv
 . iv  	 . iv
 ok iv  	 ok iv
 . iv  	 . iv
 ok iv  	 ok iv
 . iv  	 . iv
 od iv  	 od iv
 5 iv  	 5 iv
 do iv  	 do iv
 :) iv  	 6 iv
 ujutru iv  	 ujutru iv
 samo iv  	 samo iv
 razmišljam oov  	 razmišljam oov
 o iv  	 o iv
 obožavam oov  	 bvb-ovom iv
 ne iv  	 novom iv
 da oov  	 albumu iv
 , iv  	 , iv
 ali iv  	 ali iv
 toliko iv  	 toliko iv
 me iv  	 me iv
 iv  	 zanima iv
 . iv  	 . iv
 - iv  	 - iv
 . iv  	 . iv
 jedva iv  	 jedva iv
 čekam oov  	 čekam oov
 da iv  	 da iv
 može oov  	 izađe oov
 rekoh iv  	 retko iv
  	 lajkujem iv
 ljudima iv  	 ljudima iv
 slike iv  	 slike iv
 na iv  	 na iv
 fejsu iv  	 fejsu iv
 , iv  	 , iv
 a iv  	 a iv
 i iv  	 i iv
 kad iv  	 kad iv
  	 lajkujem iv
 uvek iv  	 uvek iv
 mi iv  	 mi iv
 je iv  	 je iv
 u iv  	 u iv
 glavi iv  	 glavi iv
 ' iv  	 ' iv
 evo iv  	 evo iv
 ti iv  	 ti iv
 dalje iv  	 lajk iv
 , iv  	 , iv
 jebao oov  	 jebao oov
 te iv  	 te iv
 dalje iv  	 lajk iv
 ! iv  	 ! iv
 ' iv  	 ' iv
 svi iv  	 svi iv
 ti iv  	 ti iv
 ljudi iv  	 retardirani iv
 oov  	 parovi iv
 koji iv  	 koji iv
 misle iv  	 misle iv
 da iv  	 da iv
 će iv  	 će iv
 im iv  	 im iv
